Fecha,Kiteni,PS#1,PS#2,PS#3,PS#4,Mes
2024-01-01,41.0,108.1,11.5,0.0,0.0,1
2024-01-02,7.2,98.2,20.9,5.33,0.19,1
2024-01-03,7.6,5.0,15.3,22.86,0.84,1
2024-01-04,32.4,9.8,64.7,17.78,0.7,1
2024-01-05,8.0,27.1,34.4,34.04,1.27,1
2024-01-06,9.0,64.2,8.3,17.78,0.74,1
2024-01-07,4.0,0.0,9.4,2.54,0.13,1
2024-01-08,0.0,0.0,10.2,3.81,4.83,1
2024-01-09,0.0,1.0,0.0,2.79,0.13,1
2024-01-10,0.0,10.4,1.2,13.46,0.53,1
2024-01-11,42.0,0.5,22.1,6.35,0.28,1
2024-01-12,0.0,69.7,2.4000000000000004,5.08,0.25,1
2024-01-13,0.0,0.0,6.2,0.0,0.0,1
2024-01-14,1.0,75.6,10.3,2.29,2.4,1
2024-01-15,9.5,17.6,0.6,16.51,17.450000000000003,1
2024-01-16,2.9000000000000004,0.0,4.3,3.81,3.8,1
2024-01-17,8.3,82.0,4.3,1.78,1.0,1
2024-01-18,25.0,65.2,7.5,6.35,4.4,1
2024-01-19,35.0,19.5,49.6,35.81,38.7,1
2024-01-20,9.4,4.2,20.799999999999997,0.0,0.0,1
2024-01-21,5.5,74.6,20.799999999999997,15.24,16.2,1
2024-01-22,3.1,12.2,0.4,3.04,1.3,1
2024-01-23,5.0,17.8,26.0,7.37,2.1,1
2024-01-24,2.2,55.2,6.2,6.86,0.3,1
2024-01-25,2.1,0.0,10.3,17.27,0.12,1
2024-01-26,1.2,0.0,46.2,15.75,0.18,1
2024-01-27,11.2,49.0,27.0,13.46,0.11,1
2024-01-28,4.8,33.0,21.0,10.16,0.2,1
2024-01-29,7.0,0.0,10.6,0.0,0.0,1
2024-01-30,16.7,101.0,21.3,2.54,0.0,1
2024-01-31,1.0,9.2,0.0,12.19,0.11,1
2024-02-01,11.0,1.3,0.4,20.83,0.15,2
2024-02-02,0.0,0.0,0.0,15.24,2.6,2
2024-02-03,2.2,1.2,10.2,0.0,0.0,2
2024-02-04,19.9,3.0,44.2,19.81,5.0,2
2024-02-05,17.0,6.0,15.0,2.54,5.0,2
2024-02-06,9.0,13.8,15.0,18.29,9.0,2
2024-02-07,10.2,12.7,5.8,4.57,5.0,2
2024-02-08,0.0,2.0,1.0,0.0,0.0,2
2024-02-09,0.0,0.0,0.2,13.21,8.0,2
2024-02-10,8.0,68.8,33.0,0.0,0.0,2
2024-02-11,14.399999999999999,11.0,0.0,0.0,0.0,2
2024-02-12,0.0,0.0,0.6,0.0,0.0,2
2024-02-13,3.0,4.0,2.1,7.87,1.2,2
2024-02-14,79.0,25.0,50.8,12.7,10.6,2
2024-02-15,12.0,9.1,48.0,19.81,6.6,2
2024-02-16,0.0,41.0,9.0,13.649999999999999,6.6000000000000005,2
2024-02-17,1.0,25.299999999999997,15.8,3.3,0.06,2
2024-02-18,0.0,32.0,1.7999999999999998,0.76,0.05,2
2024-02-19,4.2,25.0,12.2,0.76,0.02,2
2024-02-20,10.2,2.0,6.8,14.48,10.6,2
2024-02-21,2.0,3.0,2.8,0.0,0.0,2
2024-02-22,2.0,21.0,1.2,0.0,0.0,2
2024-02-23,9.8,8.0,5.4,0.0,0.0,2
2024-02-24,37.8,64.5,24.3,22.85,0.86,2
2024-02-25,17.0,4.0,20.1,26.92,1.19,2
2024-02-26,3.0,4.5,4.1,27.939999999999998,14.16,2
2024-02-27,0.0,1.5,0.4,19.560000000000002,4.5600000000000005,2
2024-02-28,23.8,40.0,11.4,32.51,20.2,2
2024-02-29,3.0,20.8,7.1,0.0,0.0,2
2024-03-01,10.2,2.0,14.799999999999999,19.810000000000002,18.0,3
2024-03-02,22.0,14.0,8.9,12.7,9.2,3
2024-03-03,5.0,2.6,11.0,0.0,1.0,3
2024-03-04,0.0,6.4,19.0,2.54,0.0,3
2024-03-05,3.0,0.6,7.5,14.46,4.2,3
2024-03-06,15.0,25.0,34.6,10.370000000000001,5.6,3
2024-03-07,16.0,0.0,15.0,24.13,7.8,3
2024-03-08,0.0,0.4,4.4,9.91,6.199999999999999,3
2024-03-09,12.0,0.0,0.2,0.51,0.06,3
2024-03-10,1.0,16.0,16.0,20.32,9.0,3
2024-03-11,6.0,13.9,6.0,10.67,10.0,3
2024-03-12,0.0,0.8,0.1,0.0,0.0,3
2024-03-13,0.0,0.0,8.8,22.86,4.0,3
2024-03-14,10.0,10.2,10.8,12.7,8.0,3
2024-03-15,0.0,11.200000000000001,2.4,0.0,0.0,3
2024-03-16,15.0,0.0,3.0,5.8,0.0,3
2024-03-17,20.0,6.8999999999999995,8.2,5.8,0.0,3
2024-03-18,1.0,23.0,6.2,40.13,25.0,3
2024-03-19,1.0,1.4,0.6,0.0,2.54,3
2024-03-20,0.0,8.2,2.5,29.46,46.0,3
2024-03-21,2.0,1.4,0.2,0.0,0.0,3
2024-03-22,15.399999999999999,12.4,8.0,8.13,4.0,3
2024-03-23,3.0,116.5,13.4,19.81,10.0,3
2024-03-24,0.30000000000000004,0.0,2.3,33.28,12.0,3
2024-03-25,0.0,0.0,0.2,0.0,0.0,3
2024-03-26,31.0,0.0,10.1,4.57,0.0,3
2024-03-27,12.0,8.04,17.4,12.71,14.0,3
2024-03-28,14.0,0.0,0.8,5.8,15.0,3
2024-03-29,22.0,16.0,0.2,2.29,9.8,3
2024-03-30,8.2,0.0,1.0,0.0,0.0,3
2024-03-31,0.0,0.0,10.6,0.0,0.0,3
2024-04-01,0.0,2.0,0.2,22.35,17.6,4
2024-04-02,7.0,6.0,10.4,8.64,0.0,4
2024-04-03,0.0,20.4,5.0,8.13,0.0,4
2024-04-04,0.0,0.0,0.1,0.0,0.0,4
2024-04-05,0.0,0.0,0.0,0.0,0.0,4
2024-04-06,0.0,5.6,0.2,3.05,2.2,4
2024-04-07,0.0,4.2,5.3999999999999995,3.56,0.02,4
2024-04-08,0.0,0.0,0.0,6.1,1.0,4
2024-04-09,1.0,2.2,0.0,0.51,0.3,4
2024-04-10,6.0,2.2,2.5999999999999996,0.0,0.0,4
2024-04-11,0.0,9.2,5.3,2.03,1.0,4
2024-04-12,29.0,4.8,3.7,1.78,6.2,4
2024-04-13,8.6,13.0,7.0,0.0,0.0,4
2024-04-14,14.0,17.4,50.7,0.0,0.0,4
2024-04-15,0.0,1.8,0.2,0.0,0.0,4
2024-04-16,0.0,4.2,0.0,0.0,0.0,4
2024-04-17,10.0,12.2,0.5,0.0,0.0,4
2024-04-18,3.0,32.4,0.0,0.0,0.0,4
2024-04-19,2.0,4.0,0.6,3.05,2.0,4
2024-04-20,6.0,0.4,0.0,10.16,6.0,4
2024-04-21,0.0,0.0,0.6,0.0,0.0,4
2024-04-22,3.0,3.2,5.1,0.0,0.0,4
2024-04-23,0.0,4.2,0.4,0.0,0.0,4
2024-04-24,0.0,3.0,2.2,13.21,8.0,4
2024-04-25,10.0,5.4,0.2,0.0,0.0,4
2024-04-26,0.0,0.0,8.8,0.0,0.0,4
2024-04-27,0.1,2.2,0.0,4.32,1.6,4
2024-04-28,0.0,2.2,2.6,2.4,1.02,4
2024-04-29,2.2,0.0,4.2,0.0,0.0,4
2024-04-30,0.0,0.0,0.0,0.0,0.0,4
2024-05-01,0.0,0.0,26.3,0.0,0.0,5
2024-05-02,19.0,0.0,6.2,0.0,0.0,5
2024-05-03,8.0,0.0,4.8,4.6,3.0,5
2024-05-04,12.0,104.2,0.4,0.0,0.0,5
2024-05-05,0.0,0.0,0.0,0.0,0.0,5
2024-05-06,1.0,2.8,25.9,0.0,0.0,5
2024-05-07,33.0,7.8,20.7,0.0,0.0,5
2024-05-08,0.0,9.9,0.6000000000000001,0.0,0.0,5
2024-05-09,0.1,9.4,0.3,0.0,0.0,5
2024-05-10,0.1,1.8,0.0,0.0,0.0,5
2024-05-11,1.1,0.0,18.6,0.0,0.0,5
2024-05-12,0.0,2.2,11.02,0.0,0.0,5
2024-05-13,17.0,10.1,8.2,15.24,12.2,5
2024-05-14,3.2,9.3,9.299999999999999,5.59,4.0,5
2024-05-15,8.2,67.2,11.399999999999999,0.0,0.0,5
2024-05-16,0.1,2.2,0.5,0.0,0.0,5
2024-05-17,0.1,0.0,0.7,2.29,0.0,5
2024-05-18,3.4,8.0,5.0,1.78,7.0,5
2024-05-19,8.4,5.6,1.8,0.0,0.0,5
2024-05-20,2.6,0.0,0.2,0.0,0.0,5
2024-05-21,0.0,4.7,7.1,0.0,0.0,5
2024-05-22,0.0,2.0,0.2,0.0,0.0,5
2024-05-23,0.0,3.8,0.1,0.0,0.0,5
2024-05-24,0.0,0.0,0.0,0.0,0.0,5
2024-05-25,8.0,0.0,0.2,0.0,0.0,5
2024-05-26,25.0,11.0,14.0,0.0,0.0,5
2024-05-27,0.0,1.5,0.2,0.0,0.0,5
2024-05-28,0.0,0.0,1.3,0.0,0.0,5
2024-05-29,0.0,0.0,0.4,0.0,0.0,5
2024-05-30,0.0,6.2,0.30000000000000004,0.0,0.0,5
2024-05-31,0.0,2.4,0.1,0.0,0.0,5
2024-06-01,0.0,0.0,0.0,0.0,0.0,6
2024-06-02,0.0,0.0,0.0,0.0,0.0,6
2024-06-03,0.0,0.0,0.0,0.0,0.0,6
2024-06-04,0.0,0.1,0.0,0.0,0.0,6
2024-06-05,0.0,0.1,0.0,0.0,0.0,6
2024-06-06,0.0,0.0,0.0,0.0,0.0,6
2024-06-07,0.0,0.0,0.0,0.0,0.0,6
2024-06-08,0.0,0.0,0.0,0.0,0.0,6
2024-06-09,0.0,0.0,0.0,0.0,0.0,6
2024-06-10,0.0,0.0,0.0,0.0,0.0,6
2024-06-11,0.0,0.0,0.0,0.0,0.0,6
2024-06-12,1.8,0.0,4.2,0.0,0.0,6
2024-06-13,0.0,23.0,0.2,0.0,0.0,6
2024-06-14,0.0,1.3,0.0,0.0,0.0,6
2024-06-15,0.0,1.0,0.9,0.0,0.0,6
2024-06-16,1.2,1.4,2.9,0.0,0.0,6
2024-06-17,19.0,15.4,5.1000000000000005,0.0,0.0,6
2024-06-18,6.2,42.2,12.5,4.06,3.0,6
2024-06-19,15.0,0.2,10.299999999999999,10.16,14.4,6
2024-06-20,8.0,1.2,6.5,10.16,10.0,6
2024-06-21,0.0,0.6,0.1,0.0,0.0,6
2024-06-22,0.0,0.0,0.0,0.0,0.0,6
2024-06-23,0.0,2.0,0.1,0.0,0.0,6
2024-06-24,0.0,1.2,0.1,0.0,0.0,6
2024-06-25,0.0,0.8,0.0,0.0,0.0,6
2024-06-26,0.0,3.2,0.0,0.0,0.0,6
2024-06-27,0.0,8.9,0.2,1.02,0.4,6
2024-06-28,0.0,0.0,0.0,0.0,0.0,6
2024-06-29,0.0,22.4,0.0,0.0,0.0,6
2024-06-30,2.0,7.300000000000001,0.2,0.0,0.0,6
2024-07-01,2.0,6.4,5.8,0.0,0.0,7
2024-07-02,0.0,0.0,0.2,0.0,0.0,7
2024-07-03,0.0,0.0,0.0,0.0,0.0,7
2024-07-04,0.0,0.0,0.0,0.0,0.0,7
2024-07-05,0.0,0.0,0.0,0.0,0.0,7
2024-07-06,0.0,0.0,2.9,0.0,0.0,7
2024-07-07,0.2,32.0,0.4,0.0,0.0,7
2024-07-08,0.0,49.0,0.1,0.0,0.0,7
2024-07-09,0.0,56.4,0.7,0.0,0.0,7
2024-07-10,0.0,1.8,17.0,0.0,0.0,7
2024-07-11,0.0,0.0,0.1,0.0,0.0,7
2024-07-12,0.0,0.0,0.0,0.0,0.0,7
2024-07-13,0.0,0.0,0.0,0.0,0.0,7
2024-07-14,0.0,0.0,0.0,0.0,0.0,7
2024-07-15,0.0,0.0,0.2,0.0,0.0,7
2024-07-16,0.0,0.0,0.6000000000000001,2.79,1.5,7
2024-07-17,0.1,0.0,0.6,0.0,0.0,7
2024-07-18,0.0,0.0,0.1,0.0,0.0,7
2024-07-19,0.0,0.0,0.1,0.0,0.0,7
2024-07-20,0.0,0.0,0.1,0.0,0.0,7
2024-07-21,0.0,0.0,0.0,0.0,0.0,7
2024-07-22,0.0,0.0,0.0,0.0,0.0,7
2024-07-23,0.0,0.0,0.0,0.0,0.0,7
2024-07-24,0.0,0.0,0.0,0.0,0.0,7
2024-07-25,0.0,0.0,0.0,0.0,0.0,7
2024-07-26,0.0,0.0,0.0,0.0,0.0,7
2024-07-27,0.0,10.2,0.6,0.0,0.0,7
2024-07-28,0.0,33.4,2.8,0.0,0.0,7
2024-07-29,6.0,17.6,2.2,0.0,0.0,7
2024-07-30,1.0,4.2,4.6,0.0,0.0,7
2024-07-31,1.0,6.4,4.0,0.0,0.0,7
2024-08-01,6.0,0.0,1.8,0.0,0.0,8
