Num,Año,Mes,Día,Horas,Base Operativa Kiteni,PS-1,PS-2,PS-3,PS-4
1,2016,1,1,6:00A18:00,25.1,19.2,40.5,0.0,0.0
2,2016,1,2,18:00A6:00,5.2,2.1,16.2,0.0,0.0
3,2016,1,3,6:00A18:01,20.2,3.2,17.2,0.0,1.4
4,2016,1,4,18:00A6:01,0.2,0.2,0.0,6.0,0.0
5,2016,1,5,6:00A18:02,13.0,30.4,15.2,0.4,0.0
6,2016,1,6,18:00A6:02,5.8,30.5,15.9,6.6,0.2
7,2016,1,7,6:00A18:03,3.6,40.1,0.5,0.0,0.2
8,2016,1,8,18:00A6:03,3.6,6.5,25.7,10.6,7.6
9,2016,1,9,6:00A18:04,6.2,30.4,39.2,0.0,1.2
10,2016,1,10,18:00A6:04,3.6,205.3,0.0,0.0,3.0
11,2016,1,11,6:00A18:05,7.8,266.1,2.1,7.2,1.0
12,2016,1,12,18:00A6:05,24.8,15.1,18.4,2.8,2.6
13,2016,1,13,6:00A18:06,3.2,4.1,8.4,0.2,0.2
14,2016,1,14,18:00A6:06,2.8,1.8,20.3,0.0,0.0
15,2016,1,15,6:00A18:07,7.4,12.2,7.1,0.0,0.0
16,2016,1,16,18:00A6:07,3.6,3.1,18.3,0.0,0.0
17,2016,1,17,6:00A18:08,5.2,3.6,0.4,5.4,3.2
18,2016,1,18,18:00A6:08,10.4,11.9,16.3,0.8,1.0
19,2016,1,19,6:00A18:09,6.8,10.3,6.6,8.0,2.0
20,2016,1,20,18:00A6:09,5.8,3.4,26.3,16.4,17.4
21,2016,1,21,6:00A18:10,4.4,0.8,19.7,13.6,8.2
22,2016,1,22,18:00A6:10,3.6,1.8,0.0,8.6,2.0
23,2016,1,23,6:00A18:11,1.4,15.1,0.0,1.5,0.6
24,2016,1,24,18:00A6:11,10.0,8.4,28.2,5.6,3.0
25,2016,1,25,6:00A18:12,2.6,5.0,9.9,0.4,0.0
26,2016,1,26,18:00A6:12,27.2,64.2,37.2,8.0,0.0
27,2016,1,27,6:00A18:13,3.6,15.1,0.2,1.8,1.4
28,2016,1,28,18:00A6:13,5.8,4.6,10.8,0.0,0.0
29,2016,1,29,6:00A18:14,2.8,89.2,6.800000000000001,16.0,23.0
30,2016,1,30,18:00A6:14,2.0,7.4,21.8,3.0,0.6
31,2016,1,31,6:00A18:15,18.6,70.0,8.8,7.199999999999999,0.2
32,2016,2,1,18:00A6:15,2.2,66.6,10.3,27.0,0.2
33,2016,2,2,6:00A18:16,3.6,13.2,4.4,15.2,4.600000000000001
34,2016,2,3,18:00A6:16,46.0,35.8,3.8,1.6,11.6
35,2016,2,4,6:00A18:17,18.4,6.4,4.199999999999999,9.399999999999999,29.2
36,2016,2,5,18:00A6:17,5.4,69.6,27.2,0.0,0.0
37,2016,2,6,6:00A18:18,37.59999999999999,7.800000000000001,40.8,9.2,2.0
38,2016,2,7,18:00A6:18,8.7,12.2,7.4,21.4,4.2
39,2016,2,8,6:00A18:19,19.8,17.2,51.6,34.2,19.6
40,2016,2,9,18:00A6:19,3.9,2.3,0.1,3.4,3.4
41,2016,2,10,6:00A18:20,19.3,2.5,11.8,12.4,9.4
42,2016,2,11,18:00A6:20,1.0,51.2,1.4,7.6,11.0
43,2016,2,12,6:00A18:21,20.6,24.7,24.4,6.8,25.5
44,2016,2,13,18:00A6:21,10.5,18.0,14.8,2.2,9.1
45,2016,2,14,6:00A18:22,6.9,2.2,1.4,0.2,10.2
46,2016,2,15,18:00A6:22,1.2,1.3,0.5,0.1,11.0
47,2016,2,16,6:00A18:23,1.0,60.8,4.0,1.6,12.0
48,2016,2,17,18:00A6:23,10.2,8.4,11.5,6.8,3.0
49,2016,2,18,6:00A18:24,1.6,74.60000000000001,2.4,8.2,2.0
50,2016,2,19,18:00A6:24,6.9,1.3,5.0,0.2,1.0
51,2016,2,20,6:00A18:25,0.6,2.2,0.2,0.2,0.2
52,2016,2,21,18:00A6:25,39.5,9.299999999999999,49.6,3.0,8.4
53,2016,2,22,6:00A18:26,15.4,48.8,23.0,8.2,10.0
54,2016,2,23,18:00A6:26,22.4,23.1,34.5,22.8,14.5
55,2016,2,24,6:00A18:27,19.6,19.5,41.4,2.4,4.7
56,2016,2,25,18:00A6:27,24.8,20.0,34.1,13.8,8.0
57,2016,2,26,6:00A18:28,5.8,0.1,16.4,3.8,15.7
