Fecha,Kiteni,PS#1,PS#2,PS#3,PS#4,Mes,Año
2020-01-01,5.0,73.2,9.2,1.0,2.0,1,2020
2020-01-02,41.4,9.2,11.8,0.2,0.6000000000000001,1,2020
2020-01-03,2.8,32.0,10.6,0.9,0.8,1,2020
2020-01-04,0.0,0.0,0.0,0.4,0.2,1,2020
2020-01-05,13.6,4.4,24.2,0.2,0.4,1,2020
2020-01-06,4.2,35.2,9.4,5.5,5.0,1,2020
2020-01-07,5.4,3.4000000000000004,1.4,0.2,0.4,1,2020
2020-01-08,12.8,25.2,11.2,1.0,0.4,1,2020
2020-01-09,5.2,0.0,9.2,7.0,5.6,1,2020
2020-01-10,1.4,9.2,0.0,1.0,0.6,1,2020
2020-01-11,0.4,8.4,0.0,0.2,0.4,1,2020
2020-01-12,0.3,27.0,5.2,0.4,0.2,1,2020
2020-01-13,2.8,0.0,0.3,0.8,0.6,1,2020
2020-01-14,26.2,72.8,9.2,5.4,3.0,1,2020
2020-01-15,11.9,40.6,24.0,14.4,9.0,1,2020
2020-01-16,2.6,9.0,34.5,15.2,14.4,1,2020
2020-01-17,1.4,0.4,0.0,14.6,10.4,1,2020
2020-01-18,21.0,11.4,12.0,14.6,17.0,1,2020
2020-01-19,0.0,0.0,0.0,0.6000000000000001,3.0,1,2020
2020-01-20,1.0,0.0,35.0,0.0,0.0,1,2020
2020-01-21,19.0,1.4,38.3,4.0,2.0,1,2020
2020-01-22,13.0,19.200000000000003,42.1,17.0,14.0,1,2020
2020-01-23,14.1,20.6,58.4,2.0,0.0,1,2020
2020-01-24,5.699999999999999,0.0,2.1,6.0,2.0,1,2020
2020-01-25,5.6,2.0,13.1,18.0,12.0,1,2020
2020-01-26,1.0,7.8,3.2,0.0,0.0,1,2020
2020-01-27,0.0,1.0,0.0,0.0,0.0,1,2020
2020-01-28,0.0,0.0,0.0,0.0,0.0,1,2020
2020-01-29,26.6,4.0,42.2,4.0,2.0,1,2020
2020-01-30,3.0,1.2,0.8,20.0,18.0,1,2020
2020-01-31,0.3,0.0,7.0,4.0,4.0,1,2020
2020-02-01,3.0,0.0,0.0,6.0,4.0,2,2020
2020-02-02,8.2,3.2,24.0,2.0,0.0,2,2020
2020-02-03,3.4,1.0,35.0,6.0,4.0,2,2020
2020-02-04,0.0,2.6,0.0,0.0,0.0,2,2020
2020-02-05,51.2,7.2,60.2,8.0,6.0,2,2020
2020-02-06,57.9,77.7,47.400000000000006,0.0,0.0,2,2020
2020-02-07,3.0,6.0,49.0,10.0,8.0,2,2020
2020-02-08,10.1,5.8,17.400000000000002,6.0,4.0,2,2020
2020-02-09,11.5,3.4,12.0,10.0,8.0,2,2020
2020-02-10,9.3,22.0,0.0,28.0,20.0,2,2020
2020-02-11,14.7,22.6,24.2,42.0,33.0,2,2020
2020-02-12,3.4,73.4,20.2,4.0,2.0,2,2020
2020-02-13,2.4,18.6,6.8,6.0,4.0,2,2020
