FECHA,KITENI,PS#1,PS#2,PS#3,PS#4,FECHA;KITENI;PS#1;PS#2;PS#3;PS#4
2006-01-01,0.0,0.0,0.0,0.0,0.0,
2006-01-02,1.2,1.3,0.8,0.0,0.0,
2006-01-03,2.6,15.3,2.6,0.0,0.0,
2006-01-04,23.4,18.3,0.6,0.0,0.0,
2006-01-05,27.0,4.3,10.2,0.0,0.0,
2006-01-06,8.4,3.6,0.5,0.0,0.0,
2006-01-07,0.4,3.1,10.2,0.0,0.0,
2006-01-08,0.0,8.5,0.0,0.0,0.0,
2006-01-09,2.2,0.3,0.0,0.0,0.0,
2006-01-10,10.4,2.0,4.0,0.0,0.0,
2006-01-11,1.4,5.0,0.0,0.0,0.0,
2006-01-12,3.1,2.0,7.8,0.0,0.0,
2006-01-13,43.0,0.0,25.0,0.0,0.0,
2006-01-14,11.2,10.0,9.9,0.0,0.0,
2006-01-15,35.0,182.0,25.0,0.0,0.0,
2006-01-16,2.2,10.0,0.8,0.0,0.0,
2006-01-17,2.2,6.2,5.3,0.0,0.0,
2006-01-18,103.0,72.0,8.4,0.0,0.0,
2006-01-19,21.0,3.0,14.4,0.0,0.0,
2006-01-20,37.6,20.0,8.3,0.0,0.0,
2006-01-21,49.6,14.3,34.4,0.0,0.0,
2006-01-22,32.6,5.1,28.6,0.0,0.0,
2006-01-23,0.0,62.0,3.2,0.0,0.0,
2006-01-24,0.0,10.0,0.2,0.0,0.0,
2006-01-25,1.2,2.2,11.2,0.0,0.0,
2006-01-26,1.2,13.2,9.3,0.0,0.0,
2006-01-27,7.2,0.2,18.2,0.0,0.0,
2006-01-28,6.6,1.0,9.2,0.0,0.0,
2006-01-29,10.2,0.0,18.3,0.0,0.0,
2006-01-30,0.4,0.3,0.2,0.0,0.0,
2006-01-31,0.8,0.0,4.0,0.0,0.0,
2006-02-01,1.6,10.0,10.2,0.0,0.0,
2006-02-02,12.2,22.0,4.5,0.0,0.0,
2006-02-03,1.6,5.0,4.3,0.0,0.0,
2006-02-04,1.8,0.3,6.4,0.0,0.0,
2006-02-05,8.4,0.4,38.0,0.0,0.0,
2006-02-06,5.2,50.0,18.3,0.0,0.0,
2006-02-07,23.1,70.0,50.4,0.0,0.0,
2006-02-08,7.2,18.4,18.1,0.0,0.0,
2006-02-09,47.5,1.1,32.2,0.0,0.0,
2006-02-10,9.9,14.0,18.2,0.0,0.0,
2006-02-11,28.2,95.3,32.2,0.0,0.0,
2006-02-12,7.9,5.2,9.2,0.0,0.0,
2006-02-13,5.8,116.0,4.2,0.0,0.0,
2006-02-14,1.4,32.2,0.2,0.0,0.0,
2006-02-15,4.4,23.2,7.3,0.0,0.0,
2006-02-16,5.2,2.1,0.3,0.0,0.0,
2006-02-17,0.0,4.0,0.1,0.0,0.0,
2006-02-18,2.2,0.0,0.5,0.0,0.0,
2006-02-19,10.3,0.3,11.0,0.0,0.0,
2006-02-20,4.4,0.2,7.3,0.0,0.0,
2006-02-21,1.1,11.8,10.3,0.0,0.0,
2006-02-22,7.9,17.0,42.3,0.0,0.0,
2006-02-23,0.1,6.0,25.2,0.0,0.0,
