FECHA,Año,Mes,Día,KITENI,PS-1,PS-2,PS-3,PS-4
,2016,1,1,25.1,19.2,40.5,0.0,0.0
,2016,1,2,5.2,2.1,16.2,0.0,0.0
,2016,1,3,20.2,3.2,17.2,0.0,1.4
,2016,1,4,0.2,0.2,0.0,6.0,0.0
,2016,1,5,13.0,30.4,15.2,0.4,0.0
,2016,1,6,5.8,30.5,15.9,6.6,0.2
,2016,1,7,3.6,40.1,0.5,0.0,0.2
,2016,1,8,3.6,6.5,25.7,10.6,7.6
,2016,1,9,6.2,30.4,39.2,0.0,1.2
,2016,1,10,3.6,205.3,0.0,0.0,3.0
,2016,1,11,7.8,266.1,2.1,7.2,1.0
,2016,1,12,24.8,15.1,18.4,2.8,2.6
,2016,1,13,3.2,4.1,8.4,0.2,0.2
,2016,1,14,2.8,1.8,20.3,0.0,0.0
,2016,1,15,7.4,12.2,7.1,0.0,0.0
,2016,1,16,3.6,3.1,18.3,0.0,0.0
,2016,1,17,5.2,3.6,0.4,5.4,3.2
,2016,1,18,10.4,11.9,16.3,0.8,1.0
,2016,1,19,6.8,10.3,6.6,8.0,2.0
,2016,1,20,5.8,3.4,26.3,16.4,17.4
,2016,1,21,4.4,0.8,19.7,13.6,8.2
,2016,1,22,3.6,1.8,0.0,8.6,2.0
,2016,1,23,1.4,15.1,0.0,1.5,0.6
,2016,1,24,10.0,8.4,28.2,5.6,3.0
,2016,1,25,2.6,5.0,9.9,0.4,0.0
,2016,1,26,27.2,64.2,37.2,8.0,0.0
,2016,1,27,3.6,15.1,0.2,1.8,1.4
,2016,1,28,5.8,4.6,10.8,0.0,0.0
,2016,1,29,2.8,89.2,6.800000000000001,16.0,23.0
,2016,1,30,2.0,7.4,21.8,3.0,0.6
,2016,1,31,18.6,70.0,8.8,7.199999999999999,0.2
,2016,2,1,2.2,66.6,10.3,27.0,0.2
,2016,2,2,3.6,13.2,4.4,15.2,4.600000000000001
,2016,2,3,46.0,35.8,3.8,1.6,11.6
,2016,2,4,18.4,6.4,4.199999999999999,9.399999999999999,29.2
,2016,2,5,5.4,69.6,27.2,0.0,0.0
,2016,2,6,37.59999999999999,7.800000000000001,40.8,9.2,2.0
,2016,2,7,8.7,12.2,7.4,21.4,4.2
,2016,2,8,19.8,17.2,51.6,34.2,19.6
,2016,2,9,3.9,2.3,0.1,3.4,3.4
,2016,2,10,19.3,2.5,11.8,12.4,9.4
,2016,2,11,1.0,51.2,1.4,7.6,11.0
,2016,2,12,20.6,24.7,24.4,6.8,25.5
,2016,2,13,10.5,18.0,14.8,2.2,9.1
,2016,2,14,6.9,2.2,1.4,0.2,10.2
,2016,2,15,1.2,1.3,0.5,0.1,11.0
,2016,2,16,1.0,60.8,4.0,1.6,12.0
,2016,2,17,10.2,8.4,11.5,6.8,3.0
,2016,2,18,1.6,74.60000000000001,2.4,8.2,2.0
,2016,2,19,6.9,1.3,5.0,0.2,1.0
,2016,2,20,0.6,2.2,0.2,0.2,0.2
,2016,2,21,39.5,9.299999999999999,49.6,3.0,8.4
