FECHA,KITENI,PS#1,PS#2,PS#3,PS#4,FECHA;KITENI;PS#1;PS#2;PS#3;PS#4,Año,Mes,Día,Dia
2006-01-01,0.0,0.0,0.0,0.0,0.0,,2006,1,1,
2006-01-02,1.2,1.3,0.8,0.0,0.0,,2006,1,2,
2006-01-03,2.6,15.3,2.6,0.0,0.0,,2006,1,3,
2006-01-04,23.4,18.3,0.6,0.0,0.0,,2006,1,4,
2006-01-05,27.0,4.3,10.2,0.0,0.0,,2006,1,5,
2006-01-06,8.4,3.6,0.5,0.0,0.0,,2006,1,6,
2006-01-07,0.4,3.1,10.2,0.0,0.0,,2006,1,7,
2006-01-08,0.0,8.5,0.0,0.0,0.0,,2006,1,8,
2006-01-09,2.2,0.3,0.0,0.0,0.0,,2006,1,9,
2006-01-10,10.4,2.0,4.0,0.0,0.0,,2006,1,10,
2006-01-11,1.4,5.0,0.0,0.0,0.0,,2006,1,11,
2006-01-12,3.1,2.0,7.8,0.0,0.0,,2006,1,12,
2006-01-13,43.0,0.0,25.0,0.0,0.0,,2006,1,13,
2006-01-14,11.2,10.0,9.9,0.0,0.0,,2006,1,14,
2006-01-15,35.0,182.0,25.0,0.0,0.0,,2006,1,15,
2006-01-16,2.2,10.0,0.8,0.0,0.0,,2006,1,16,
2006-01-17,2.2,6.2,5.3,0.0,0.0,,2006,1,17,
2006-01-18,103.0,72.0,8.4,0.0,0.0,,2006,1,18,
2006-01-19,21.0,3.0,14.4,0.0,0.0,,2006,1,19,
2006-01-20,37.6,20.0,8.3,0.0,0.0,,2006,1,20,
2006-01-21,49.6,14.3,34.4,0.0,0.0,,2006,1,21,
2006-01-22,32.6,5.1,28.6,0.0,0.0,,2006,1,22,
2006-01-23,0.0,62.0,3.2,0.0,0.0,,2006,1,23,
2006-01-24,0.0,10.0,0.2,0.0,0.0,,2006,1,24,
2006-01-25,1.2,2.2,11.2,0.0,0.0,,2006,1,25,
2006-01-26,1.2,13.2,9.3,0.0,0.0,,2006,1,26,
2006-01-27,7.2,0.2,18.2,0.0,0.0,,2006,1,27,
2006-01-28,6.6,1.0,9.2,0.0,0.0,,2006,1,28,
2006-01-29,10.2,0.0,18.3,0.0,0.0,,2006,1,29,
2006-01-30,0.4,0.3,0.2,0.0,0.0,,2006,1,30,
2006-01-31,0.8,0.0,4.0,0.0,0.0,,2006,1,31,
2006-02-01,1.6,10.0,10.2,0.0,0.0,,2006,2,1,
2006-02-02,12.2,22.0,4.5,0.0,0.0,,2006,2,2,
2006-02-03,1.6,5.0,4.3,0.0,0.0,,2006,2,3,
2006-02-04,1.8,0.3,6.4,0.0,0.0,,2006,2,4,
2006-02-05,8.4,0.4,38.0,0.0,0.0,,2006,2,5,
2006-02-06,5.2,50.0,18.3,0.0,0.0,,2006,2,6,
2006-02-07,23.1,70.0,50.4,0.0,0.0,,2006,2,7,
2006-02-08,7.2,18.4,18.1,0.0,0.0,,2006,2,8,
2006-02-09,47.5,1.1,32.2,0.0,0.0,,2006,2,9,
2006-02-10,9.9,14.0,18.2,0.0,0.0,,2006,2,10,
2006-02-11,28.2,95.3,32.2,0.0,0.0,,2006,2,11,
2006-02-12,7.9,5.2,9.2,0.0,0.0,,2006,2,12,
2006-02-13,5.8,116.0,4.2,0.0,0.0,,2006,2,13,
2006-02-14,1.4,32.2,0.2,0.0,0.0,,2006,2,14,
2006-02-15,4.4,23.2,7.3,0.0,0.0,,2006,2,15,
2006-02-16,5.2,2.1,0.3,0.0,0.0,,2006,2,16,
2006-02-17,0.0,4.0,0.1,0.0,0.0,,2006,2,17,
2006-02-18,2.2,0.0,0.5,0.0,0.0,,2006,2,18,
2006-02-19,10.3,0.3,11.0,0.0,0.0,,2006,2,19,
2006-02-20,4.4,0.2,7.3,0.0,0.0,,2006,2,20,
2006-02-21,1.1,11.8,10.3,0.0,0.0,,2006,2,21,
2006-02-22,7.9,17.0,42.3,0.0,0.0,,2006,2,22,
2006-02-23,0.1,6.0,25.2,0.0,0.0,,2006,2,23,
2006-02-24,1.1,12.4,2.2,0.0,0.0,,2006,2,24,
2006-02-25,2.1,5.4,11.0,0.0,0.0,,2006,2,25,
2006-02-26,8.1,65.4,25.4,0.0,0.0,,2006,2,26,
2006-02-27,20.8,6.4,14.6,0.0,0.0,,2006,2,27,
2006-02-28,7.5,13.2,1.4,0.0,0.0,,2006,2,28,
2006-03-01,6.2,15.0,11.0,0.0,0.0,,2006,3,1,
2006-03-02,0.4,82.0,1.2,0.0,0.0,,2006,3,2,
2006-03-03,60.0,6.4,42.4,0.0,0.0,,2006,3,3,
2006-03-04,10.2,0.2,4.1,0.0,0.0,,2006,3,4,
2006-03-05,1.3,0.3,5.2,0.0,0.0,,2006,3,5,
2006-03-06,6.9,2.4,1.2,0.0,0.0,,2006,3,6,
2006-03-07,13.6,60.0,9.3,0.0,0.0,,2006,3,7,
2006-03-08,3.2,50.0,4.2,0.0,0.0,,2006,3,8,
2006-03-09,3.1,15.0,0.4,0.0,0.0,,2006,3,9,
2006-03-10,4.3,70.0,4.3,0.0,0.0,,2006,3,10,
2006-03-11,18.9,22.0,35.3,0.0,0.0,,2006,3,11,
2006-03-12,2.4,1.0,4.0,0.0,0.0,,2006,3,12,
2006-03-13,38.5,0.1,21.0,0.0,0.0,,2006,3,13,
2006-03-14,8.0,1.1,6.0,0.0,0.0,,2006,3,14,
2006-03-15,0.9,1.2,6.0,0.0,0.0,,2006,3,15,
2006-03-16,12.5,5.3,7.4,0.0,0.0,,2006,3,16,
2006-03-17,0.6,1.0,2.2,0.0,0.0,,2006,3,17,
2006-03-18,24.3,27.0,18.4,0.0,0.0,,2006,3,18,
2006-03-19,21.0,33.0,20.3,0.0,0.0,,2006,3,19,
2006-03-20,2.0,0.4,0.2,0.0,0.0,,2006,3,20,
2006-03-21,4.2,17.0,17.0,0.0,0.0,,2006,3,21,
2006-03-22,1.2,20.0,7.0,0.0,0.0,,2006,3,22,
2006-03-23,0.3,0.4,14.2,0.0,0.0,,2006,3,23,
2006-03-24,26.0,74.0,37.2,0.0,0.0,,2006,3,24,
2006-03-25,12.6,25.0,10.2,0.0,0.0,,2006,3,25,
2006-03-26,0.4,0.0,2.2,0.0,0.0,,2006,3,26,
2006-03-27,4.0,5.2,3.2,0.0,0.0,,2006,3,27,
2006-03-28,3.0,1.2,0.1,0.0,0.0,,2006,3,28,
2006-03-29,18.0,0.3,5.2,0.0,0.0,,2006,3,29,
2006-03-30,34.0,9.3,7.9,0.0,0.0,,2006,3,30,
2006-03-31,7.4,38.0,25.3,0.0,0.0,,2006,3,31,
2006-04-01,0.4,6.3,34.0,0.0,0.0,,2006,4,1,
2006-04-02,25.0,16.0,25.2,0.0,0.0,,2006,4,2,
2006-04-03,0.0,17.2,52.5,0.0,0.0,,2006,4,3,
2006-04-04,16.0,18.2,8.2,0.0,0.0,,2006,4,4,
2006-04-05,13.5,26.6,13.5,0.0,0.0,,2006,4,5,
2006-04-06,11.1,12.0,16.2,0.0,0.0,,2006,4,6,
2006-04-07,26.8,90.4,28.6,0.0,0.0,,2006,4,7,
2006-04-08,13.0,27.0,16.3,0.0,0.0,,2006,4,8,
2006-04-09,7.2,2.4,1.2,0.0,0.0,,2006,4,9,
2006-04-10,13.2,0.8,7.1,0.0,0.0,,2006,4,10,
2006-04-11,0.0,5.8,0.3,0.0,0.0,,2006,4,11,
2006-04-12,3.2,0.4,2.0,0.0,0.0,,2006,4,12,
2006-04-13,6.0,25.0,46.1,0.0,0.0,,2006,4,13,
2006-04-14,1.2,1.2,0.4,0.0,0.0,,2006,4,14,
2006-04-15,9.0,10.2,4.4,0.0,0.0,,2006,4,15,
2006-04-16,17.0,1.0,16.1,0.0,0.0,,2006,4,16,
2006-04-17,25.0,1.0,7.2,0.0,0.0,,2006,4,17,
2006-04-18,0.0,3.5,1.2,0.0,0.0,,2006,4,18,
2006-04-19,0.0,0.4,2.1,0.0,0.0,,2006,4,19,
2006-04-20,1.2,0.0,2.0,0.0,0.0,,2006,4,20,
2006-04-21,0.0,0.0,0.5,0.0,0.0,,2006,4,21,
2006-04-22,0.0,0.0,0.0,0.0,0.0,,2006,4,22,
